argument_list:	11.69%
call_expression:	11.24%
type_identifier:	8.76%
field_identifier:	8.60%
field_expression:	8.50%
expression_statement:	3.99%
qualified_identifier:	2.90%
namespace_identifier:	2.87%
pointer_declarator:	2.78%
parameter_declaration:	2.59%
condition_clause:	2.56%
binary_expression:	2.46%
init_declarator:	2.09%
template_argument_list:	2.06%
return_statement:	2.05%
if_statement:	1.85%
type_descriptor:	1.83%
compound_statement:	1.72%
template_function:	1.56%
primitive_type:	1.45%
parameter_list:	1.42%
function_declarator:	1.39%
type_qualifier:	1.36%
assignment_expression:	1.16%
string_literal:	1.15%
string_content:	1.14%
reference_declarator:	0.89%
unary_expression:	0.83%
number_literal:	0.75%
function_definition:	0.65%
case_statement:	0.51%
pointer_expression:	0.47%
placeholder_type_specifier:	0.36%
template_type:	0.32%
sized_type_specifier:	0.28%
subscript_expression:	0.26%
subscript_argument_list:	0.26%
abstract_pointer_declarator:	0.24%
storage_class_specifier:	0.23%
preproc_include:	0.19%
update_expression:	0.19%
template_method:	0.18%
break_statement:	0.18%
parenthesized_expression:	0.15%
parameter_pack_expansion:	0.13%
conditional_expression:	0.12%
continue_statement:	0.11%
concatenated_string:	0.09%
field_initializer:	0.08%
optional_parameter_declaration:	0.08%
else_clause:	0.07%
for_range_loop:	0.07%
for_statement:	0.06%
new_expression:	0.06%
switch_statement:	0.06%
class_specifier:	0.06%
statement_identifier:	0.05%
system_lib_string:	0.05%
labeled_statement:	0.04%
type_definition:	0.04%
access_specifier:	0.04%
virtual_specifier:	0.04%
pointer_type_declarator:	0.04%
initializer_list:	0.04%
preproc_directive:	0.04%
preproc_arg:	0.03%
base_class_clause:	0.02%
cast_expression:	0.02%
field_declaration:	0.02%
destructor_name:	0.02%
template_parameter_list:	0.02%
type_parameter_declaration:	0.02%
parenthesized_declarator:	0.02%
char_literal:	0.02%
trailing_return_type:	0.02%
while_statement:	0.02%
array_declarator:	0.02%
sizeof_expression:	0.02%
abstract_function_declarator:	0.02%
field_initializer_list:	0.02%
lambda_capture_specifier:	0.02%
lambda_default_capture:	0.02%
preproc_call:	0.02%
namespace_definition:	0.02%
declaration_list:	0.02%
struct_specifier:	0.01%
compound_literal_expression:	0.01%
field_declaration_list:	0.01%
lambda_declarator:	0.01%
__fastcall:	0.01%
comma_expression:	0.01%
friend_declaration:	0.01%
operator_name:	0.01%
template_declaration:	0.01%
dependent_name:	0.01%
goto_statement:	0.01%
initializer_pair:	0.01%
explicit_function_specifier:	0.01%
alias_declaration:	0.01%
