argument_list:	12.99%
call_expression:	12.54%
field_identifier:	9.25%
field_expression:	8.99%
type_identifier:	6.47%
expression_statement:	3.67%
binary_expression:	3.36%
condition_clause:	2.99%
if_statement:	2.79%
qualified_identifier:	2.71%
namespace_identifier:	2.70%
pointer_declarator:	2.32%
compound_statement:	2.30%
parameter_declaration:	2.05%
init_declarator:	1.91%
template_argument_list:	1.75%
type_descriptor:	1.73%
return_statement:	1.57%
parameter_list:	1.33%
template_function:	1.28%
function_declarator:	1.23%
unary_expression:	1.21%
assignment_expression:	1.18%
primitive_type:	1.13%
type_qualifier:	1.13%
function_definition:	0.83%
string_literal:	0.73%
string_content:	0.73%
number_literal:	0.72%
placeholder_type_specifier:	0.63%
reference_declarator:	0.62%
pointer_expression:	0.53%
parenthesized_expression:	0.33%
case_statement:	0.29%
template_type:	0.25%
conditional_expression:	0.22%
template_method:	0.22%
storage_class_specifier:	0.20%
subscript_expression:	0.19%
subscript_argument_list:	0.19%
else_clause:	0.18%
abstract_pointer_declarator:	0.18%
sized_type_specifier:	0.14%
for_range_loop:	0.13%
field_initializer:	0.11%
break_statement:	0.10%
concatenated_string:	0.10%
lambda_capture_specifier:	0.10%
new_expression:	0.08%
field_declaration:	0.08%
lambda_expression:	0.08%
continue_statement:	0.07%
statement_identifier:	0.07%
field_initializer_list:	0.07%
parameter_pack_expansion:	0.07%
lambda_default_capture:	0.07%
while_statement:	0.06%
initializer_list:	0.06%
cast_expression:	0.06%
preproc_include:	0.05%
abstract_function_declarator:	0.05%
update_expression:	0.05%
field_declaration_list:	0.05%
labeled_statement:	0.04%
parenthesized_declarator:	0.04%
lambda_declarator:	0.04%
using_declaration:	0.04%
optional_parameter_declaration:	0.04%
struct_specifier:	0.04%
switch_statement:	0.04%
type_definition:	0.03%
access_specifier:	0.03%
preproc_directive:	0.03%
preproc_arg:	0.03%
for_statement:	0.02%
goto_statement:	0.02%
namespace_definition:	0.02%
declaration_list:	0.02%
pointer_type_declarator:	0.02%
virtual_specifier:	0.02%
class_specifier:	0.02%
enum_specifier:	0.02%
enumerator_list:	0.02%
destructor_name:	0.02%
preproc_call:	0.02%
trailing_return_type:	0.01%
union_specifier:	0.01%
bitfield_clause:	0.01%
base_class_clause:	0.01%
explicit_function_specifier:	0.01%
preproc_else:	0.01%
template_declaration:	0.01%
template_parameter_list:	0.01%
type_parameter_declaration:	0.01%
delete_expression:	0.01%
dependent_name:	0.01%
array_declarator:	0.01%
preproc_ifdef:	0.01%
preproc_if:	0.01%
preproc_elif:	0.01%
preproc_defined:	0.01%
abstract_reference_declarator:	0.01%
delete_method_clause:	0.01%
