bugno,function_number
88548,29
94041,19
109751,17
87436,16
82294,16
98570,15
92907,15
97533,14
92918,14
92385,14
90623,14
90538,14
104476,14
104300,14
90691,13
96121,12
89392,12
88252,12
82110,12
111710,12
104527,12
85437,11
96299,10
93998,10
93169,10
81311,10
85743,9
83058,9
101442,9
101181,9
94799,8
90171,8
86439,8
85662,8
112632,8
112594,8
109649,8
106882,8
98642,7
93675,7
91911,7
91768,7
85155,7
80913,7
112436,7
109160,7
108437,7
105842,7
104641,7
100374,7
99565,6
99251,6
96876,6
94175,6
92604,6
89652,6
89390,6
88123,6
85146,6
84222,6
82833,6
80178,6
110566,6
109678,6
103177,6
100111,6
96840,5
96623,5
96204,5
96199,5
94775,5
93480,5
93400,5
93286,5
92582,5
91606,5
90449,5
89974,5
89836,5
87820,5
86521,5
86018,5
84993,5
84578,5
84447,5
84426,5
79118,5
113141,5
113064,5
110197,5
109396,5
107461,5
105761,5
103337,5
102191,5
102137,5
101803,5
100205,5
98802,4
98486,4
97427,4
94951,4
94926,4
94492,4
94470,4
94024,4
90801,4
89217,4
88979,4
88875,4
88815,4
88368,4
87531,4
86648,4
85901,4
85545,4
85356,4
84850,4
83825,4
82899,4
82593,4
81942,4
79501,4
109876,4
108887,4
106969,4
106366,4
104647,4
104432,4
100983,4
100862,4
100489,4
99365,3
99180,3
98712,3
98644,3
98231,3
97679,3
97279,3
96560,3
96229,3
96164,3
96078,3
96052,3
95486,3
95466,3
95311,3
94932,3
93107,3
91378,3
91179,3
90996,3
90243,3
90210,3
89914,3
89744,3
86473,3
86044,3
84449,3
81164,3
80935,3
79308,3
113063,3
112765,3
112482,3
112427,3
112301,3
109320,3
109241,3
108090,3
105925,3
105518,3
105265,3
101717,3
101040,3
100838,3
100828,3
100797,3
100616,3
100138,3
99844,2
99700,2
99120,2
99033,2
98620,2
98545,2
98413,2
98333,2
98332,2
98329,2
97819,2
97328,2
97099,2
96003,2
95999,2
95369,2
94819,2
94772,2
93805,2
93238,2
92944,2
92776,2
92103,2
92068,2
91933,2
91845,2
91334,2
90858,2
90825,2
90505,2
89682,2
89422,2
89403,2
89331,2
89187,2
88986,2
88969,2
88795,2
88580,2
88578,2
88114,2
86374,2
86190,2
85764,2
85761,2
85739,2
85659,2
85646,2
85363,2
85277,2
85262,2
84927,2
84558,2
84434,2
84296,2
84098,2
83956,2
83227,2
83205,2
82980,2
82299,2
81675,2
80956,2
80829,2
79865,2
112744,2
112658,2
111705,2
110927,2
110122,2
109958,2
109871,2
109761,2
109745,2
109531,2
109514,2
109319,2
109277,2
109247,2
109172,2
109096,2
109042,2
108998,2
108698,2
108579,2
108559,2
107329,2
107065,2
106304,2
105803,2
105623,2
104108,2
103991,2
103783,2
103749,2
103714,2
103678,2
103346,2
102670,2
100502,2
100054,2
99980,1
99815,1
99683,1
99664,1
99613,1
99389,1
99374,1
99213,1
98930,1
98844,1
98745,1
98744,1
98611,1
98551,1
98441,1
98249,1
97523,1
97297,1
97186,1
96994,1
96934,1
96330,1
95629,1
95567,1
95371,1
95328,1
95303,1
95074,1
94944,1
94885,1
94719,1
94632,1
94590,1
94549,1
94462,1
94124,1
93905,1
93803,1
93633,1
93559,1
93496,1
93413,1
93310,1
93248,1
93207,1
93143,1
93138,1
93046,1
92869,1
92859,1
92745,1
92732,1
92593,1
92531,1
92134,1
92106,1
92062,1
92001,1
91921,1
91826,1
91759,1
91377,1
91230,1
90951,1
90938,1
90916,1
90749,1
90546,1
90448,1
90212,1
90190,1
90138,1
90124,1
89917,1
89913,1
89761,1
89705,1
89532,1
89512,1
89511,1
89481,1
89420,1
89387,1
89214,1
89212,1
89158,1
89050,1
89036,1
88857,1
88830,1
88757,1
88690,1
88554,1
88380,1
88183,1
88110,1
88049,1
87554,1
87547,1
87506,1
87480,1
87327,1
87324,1
87150,1
86823,1
86763,1
86747,1
86610,1
85883,1
85866,1
85464,1
85386,1
85148,1
85141,1
85067,1
85061,1
85060,1
85014,1
84892,1
84851,1
84820,1
84708,1
84694,1
84605,1
84590,1
84520,1
84445,1
84375,1
84348,1
84330,1
84314,1
84151,1
84001,1
83958,1
83895,1
83835,1
83796,1
83374,1
83217,1
83187,1
83116,1
82873,1
82764,1
82643,1
82461,1
82336,1
82152,1
81888,1
81796,1
80916,1
80575,1
80456,1
80431,1
80415,1
80186,1
80073,1
80043,1
79825,1
79796,1
79746,1
79687,1
79679,1
79606,1
79519,1
79503,1
79461,1
79377,1
79290,1
79077,1
70272,1
113088,1
113083,1
113031,1
112619,1
112439,1
111286,1
111272,1
110809,1
110580,1
110535,1
110524,1
110463,1
110441,1
110295,1
110102,1
110084,1
110075,1
110064,1
109923,1
109899,1
109159,1
109039,1
108606,1
108526,1
108468,1
108438,1
107938,1
107755,1
107574,1
107484,1
107280,1
107079,1
106925,1
106675,1
105734,1
105589,1
105110,1
105035,1
104846,1
104235,1
104225,1
104173,1
104031,1
103968,1
103936,1
103769,1
103711,1
103703,1
103700,1
103480,1
103455,1
103341,1
103081,1
102786,1
102050,1
102045,1
101988,1
101767,1
101698,1
101532,1
101405,1
101247,1
101194,1
101073,1
100963,1
100763,1
100752,1
100644,1
100592,1
100517,1
100493,1
100474,1
100209,1
100065,1
100032,1
97121,0
96647,0
95678,0
94616,0
94102,0
94074,0
93614,0
92806,0
92082,0
91907,0
91466,0
91098,0
90199,0
89419,0
89315,0
88528,0
87750,0
87571,0
87530,0
87425,0
87378,0
86953,0
85558,0
85493,0
84698,0
84689,0
84494,0
84306,0
82239,0
82075,0
81236,0
79504,0
79474,0
79064,0
110395,0
109506,0
105351,0
104425,0
104182,0
102592,0
101783,0
101098,0
